"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"113",8,"Amos Otis","KCR","AL",1971,67,0,0.2,5.3,147,555,80,167,15,79,52,40,0.301,0.345,0.443,0.789,0
"114",1,"Dick Allen","CHW","AL",1972,321,21,0.96,8.6,148,506,90,156,37,113,19,99,0.308,0.42,0.603,1.023,1
"115",2,"Joe Rudi","OAK","AL",1972,164,1,0.49,6.1,147,593,94,181,19,75,3,37,0.305,0.345,0.486,0.83,0
"116",4,"Carlton Fisk","BOS","AL",1972,96,0,0.29,7.3,131,457,74,134,22,61,5,52,0.293,0.37,0.538,0.909,0
"117",5,"Bobby Murcer","NYY","AL",1972,89,0,0.26,8.2,153,585,102,171,33,96,11,63,0.292,0.361,0.537,0.898,0
"118",9,"Ed Brinkman","DET","AL",1972,62,0,0.18,0.7,156,516,42,105,6,49,0,38,0.203,0.259,0.279,0.538,0
"119",1,"Reggie Jackson","OAK","AL",1973,336,24,1,7.8,151,539,99,158,32,117,22,76,0.293,0.383,0.531,0.914,1
"120",3,"Amos Otis","KCR","AL",1973,112,0,0.33,4,148,583,89,175,26,93,13,63,0.3,0.368,0.484,0.851,0
"121",4,"Sal Bando","OAK","AL",1973,83,0,0.25,6.5,162,592,97,170,29,98,4,82,0.287,0.375,0.498,0.873,0
"122",4,"Rod Carew","MIN","AL",1973,83,0,0.25,7,149,580,98,203,6,62,41,62,0.35,0.411,0.471,0.881,0
"123",7,"John Mayberry","KCR","AL",1973,76,0,0.23,5.2,152,510,87,142,26,100,3,122,0.278,0.417,0.478,0.895,0
"124",8,"Dave May","MIL","AL",1973,65,0,0.19,4.7,156,624,96,189,25,93,6,44,0.303,0.352,0.473,0.824,0
"125",9,"Bobby Murcer","NYY","AL",1973,53,0,0.16,5.1,160,616,83,187,22,95,6,50,0.304,0.357,0.464,0.821,0
"126",1,"Jeff Burroughs","TEX","AL",1974,248,10,0.74,3.6,152,554,84,167,25,118,2,91,0.301,0.397,0.504,0.901,1
"127",2,"Joe Rudi","OAK","AL",1974,161,5,0.48,4.7,158,593,73,174,22,99,2,34,0.293,0.334,0.484,0.818,0
"128",3,"Sal Bando","OAK","AL",1974,143,3,0.43,4.9,146,498,84,121,22,103,2,86,0.243,0.352,0.426,0.778,0
"129",4,"Reggie Jackson","OAK","AL",1974,119,1,0.35,5.7,148,506,90,146,29,93,25,86,0.289,0.391,0.514,0.905,0
"130",7,"Rod Carew","MIN","AL",1974,70,0,0.21,7.5,153,599,86,218,3,55,38,74,0.364,0.433,0.446,0.879,0
"131",8,"Elliott Maddox","NYY","AL",1974,59,0,0.18,5.4,137,466,75,141,3,45,6,69,0.303,0.395,0.386,0.781,0
"132",9,"Bobby Grich","BAL","AL",1974,49,0,0.15,7.3,160,582,92,153,19,82,17,90,0.263,0.376,0.431,0.807,0
"133",1,"Fred Lynn","BOS","AL",1975,326,22,0.97,7.4,145,528,103,175,21,105,10,62,0.331,0.401,0.566,0.967,1
"134",2,"John Mayberry","KCR","AL",1975,157,0,0.47,7.2,156,554,95,161,34,106,5,119,0.291,0.416,0.547,0.963,0
"135",3,"Jim Rice","BOS","AL",1975,154,0,0.46,3,144,564,92,174,22,102,10,36,0.309,0.35,0.491,0.841,0
"136",5,"Reggie Jackson","OAK","AL",1975,118,0,0.35,6.7,157,593,91,150,36,104,17,67,0.253,0.329,0.511,0.84,0
"137",7,"Thurman Munson","NYY","AL",1975,69,0,0.21,6.6,157,597,83,190,12,102,3,45,0.318,0.366,0.429,0.795,0
"138",8,"George Scott","MIL","AL",1975,64,0,0.19,3.2,158,617,86,176,36,109,6,51,0.285,0.341,0.515,0.857,0
"139",9,"Rod Carew","MIN","AL",1975,54,0,0.16,7.8,143,535,89,192,14,80,35,64,0.359,0.421,0.497,0.919,0
"140",1,"Thurman Munson","NYY","AL",1976,304,18,0.9,5.3,152,616,79,186,17,105,14,29,0.302,0.337,0.432,0.769,1
"141",2,"George Brett","KCR","AL",1976,217,2,0.65,7.5,159,645,94,215,7,67,21,49,0.333,0.377,0.462,0.839,0
"142",3,"Mickey Rivers","NYY","AL",1976,179,1,0.53,6.4,137,590,95,184,8,67,43,13,0.312,0.327,0.432,0.76,0
