"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"592",9,"Matty Alou","PIT","NL",1966,36,0,0.13,3.3,141,535,86,183,2,27,23,24,0.342,0.373,0.421,0.793,0
"593",1,"Orlando Cepeda","STL","NL",1967,280,20,1,6.8,151,563,91,183,25,111,11,62,0.325,0.399,0.524,0.923,1
"594",2,"Tim McCarver","STL","NL",1967,136,0,0.49,6,138,471,68,139,14,69,8,54,0.295,0.369,0.452,0.822,0
"595",3,"Roberto Clemente","PIT","NL",1967,129,0,0.46,8.9,147,585,103,209,23,110,9,41,0.357,0.4,0.554,0.954,0
"596",4,"Ron Santo","CHC","NL",1967,103,0,0.37,9.8,161,586,107,176,31,98,1,96,0.3,0.395,0.512,0.906,0
"597",5,"Henry Aaron","ATL","NL",1967,79,0,0.28,8.5,155,600,113,184,39,109,17,63,0.307,0.369,0.573,0.943,0
"598",7,"Lou Brock","STL","NL",1967,49,0,0.18,5.6,159,689,113,206,21,76,52,24,0.299,0.327,0.472,0.799,0
"599",8,"Tony Pérez","CIN","NL",1967,43,0,0.15,3.2,156,600,78,174,26,102,0,33,0.29,0.328,0.49,0.818,0
"600",9,"Julián Javier","STL","NL",1967,41,0,0.15,2.6,140,520,68,146,14,64,6,25,0.281,0.314,0.404,0.718,0
"601",2,"Pete Rose","CIN","NL",1968,205,6,0.73,5.5,149,626,94,210,10,49,3,56,0.335,0.391,0.47,0.861,0
"602",3,"Willie McCovey","SFG","NL",1968,135,0,0.48,7,148,523,81,153,36,105,4,72,0.293,0.378,0.545,0.923,0
"603",4,"Curt Flood","STL","NL",1968,116,0,0.41,4.1,150,618,71,186,5,60,11,33,0.301,0.339,0.366,0.705,0
"604",6,"Lou Brock","STL","NL",1968,73,0,0.26,5.8,159,660,92,184,6,51,62,46,0.279,0.328,0.418,0.746,0
"605",7,"Mike Shannon","STL","NL",1968,55,0,0.2,3.6,156,576,62,153,15,79,1,37,0.266,0.309,0.401,0.71,0
"606",8,"Billy Williams","CHC","NL",1968,48,0,0.17,4.6,163,642,91,185,30,98,4,48,0.288,0.336,0.5,0.836,0
"607",9,"Glenn Beckert","CHC","NL",1968,40,0,0.14,5.6,155,643,98,189,4,37,8,31,0.294,0.326,0.369,0.695,0
"608",1,"Willie McCovey","SFG","NL",1969,265,11,0.79,8.1,149,491,101,157,45,126,0,121,0.32,0.453,0.656,1.108,1
"609",3,"Henry Aaron","ATL","NL",1969,188,2,0.56,8,147,547,100,164,44,97,9,87,0.3,0.396,0.607,1.003,0
"610",4,"Pete Rose","CIN","NL",1969,127,0,0.38,6.6,156,627,120,218,16,82,7,88,0.348,0.428,0.512,0.94,0
"611",5,"Ron Santo","CHC","NL",1969,124,0,0.37,5.5,160,575,97,166,29,123,1,96,0.289,0.384,0.485,0.869,0
"612",6,"Tommie Agee","NYM","NL",1969,89,0,0.26,5.2,149,565,97,153,26,76,12,59,0.271,0.342,0.464,0.806,0
"613",7,"Cleon Jones","NYM","NL",1969,82,0,0.24,7,137,483,92,164,12,75,16,64,0.34,0.422,0.482,0.904,0
"614",8,"Roberto Clemente","PIT","NL",1969,51,0,0.15,7.5,138,507,87,175,19,91,4,56,0.345,0.411,0.544,0.955,0
"615",1,"Johnny Bench","CIN","NL",1970,326,22,0.97,7.4,158,605,97,177,45,148,5,54,0.293,0.345,0.587,0.932,1
"616",2,"Billy Williams","CHC","NL",1970,218,2,0.65,6.6,161,636,137,205,42,129,7,72,0.322,0.391,0.586,0.977,0
"617",3,"Tony Pérez","CIN","NL",1970,149,0,0.44,7.2,158,587,107,186,40,129,8,83,0.317,0.401,0.589,0.99,0
"618",5,"Wes Parker","LAD","NL",1970,91,0,0.27,5.2,161,614,84,196,10,111,8,79,0.319,0.392,0.458,0.85,0
"619",7,"Pete Rose","CIN","NL",1970,54,0,0.16,4.8,159,649,120,205,15,52,12,73,0.316,0.385,0.47,0.855,0
"620",8,"Jim Hickman","CHC","NL",1970,52,0,0.15,5,149,514,102,162,32,115,0,93,0.315,0.419,0.582,1.001,0
"621",9,"Willie McCovey","SFG","NL",1970,47,0,0.14,6.6,152,495,98,143,39,126,0,137,0.289,0.444,0.612,1.056,0
"622",1,"Joe Torre","STL","NL",1971,318,21,0.95,5.9,161,634,97,230,24,137,4,63,0.363,0.421,0.555,0.976,1
"623",2,"Willie Stargell","PIT","NL",1971,222,3,0.66,7.9,141,511,104,151,48,125,0,83,0.295,0.398,0.628,1.026,0
"624",3,"Henry Aaron","ATL","NL",1971,180,0,0.54,7.2,139,495,95,162,47,118,1,71,0.327,0.41,0.669,1.079,0
"625",4,"Bobby Bonds","SFG","NL",1971,139,0,0.41,6.7,155,619,110,178,33,102,26,62,0.288,0.355,0.512,0.867,0
"626",5,"Roberto Clemente","PIT","NL",1971,87,0,0.26,7.2,132,522,82,178,13,86,1,26,0.341,0.37,0.502,0.871,0
"627",6,"Maury Wills","LAD","NL",1971,74,0,0.22,2.5,149,601,73,169,3,44,15,40,0.281,0.323,0.329,0.652,0
"628",8,"Manny Sanguillén","PIT","NL",1971,49,0,0.15,5,138,533,60,170,7,81,6,19,0.319,0.345,0.426,0.771,0
"629",1,"Johnny Bench","CIN","NL",1972,263,11,0.78,8.6,147,538,87,145,40,125,6,100,0.27,0.379,0.541,0.92,1
"630",2,"Billy Williams","CHC","NL",1972,211,5,0.63,6.2,150,574,95,191,37,122,3,62,0.333,0.398,0.606,1.005,0
"631",3,"Willie Stargell","PIT","NL",1972,201,2,0.6,3.9,138,495,74,145,33,112,1,65,0.293,0.373,0.558,0.93,0
"632",4,"Joe Morgan","CIN","NL",1972,197,5,0.59,9.3,149,552,122,161,16,73,58,115,0.292,0.417,0.435,0.851,0
"633",6,"César Cedeño","HOU","NL",1972,112,0,0.33,8,139,559,103,179,22,82,55,56,0.32,0.385,0.537,0.921,0
"634",7,"Al Oliver","PIT","NL",1972,52,0,0.15,3.2,140,565,88,176,12,89,2,34,0.312,0.352,0.437,0.789,0
"635",8,"Nate Colbert","SDP","NL",1972,45,0,0.13,5.4,151,563,87,141,38,111,15,70,0.25,0.333,0.508,0.841,0
"636",9,"Lee May","HOU","NL",1972,30,0,0.09,2.8,148,592,87,168,29,98,3,52,0.284,0.343,0.49,0.833,0
"637",1,"Pete Rose","CIN","NL",1973,274,12,0.82,8.3,160,680,115,230,5,64,10,65,0.338,0.401,0.437,0.838,1
"638",2,"Willie Stargell","PIT","NL",1973,250,10,0.74,7.2,148,522,106,156,44,119,0,80,0.299,0.392,0.646,1.038,0
"639",3,"Bobby Bonds","SFG","NL",1973,174,1,0.52,7.8,160,643,131,182,39,96,43,87,0.283,0.37,0.53,0.9,0
"640",4,"Joe Morgan","CIN","NL",1973,102,1,0.3,9.3,157,576,116,167,26,82,67,111,0.29,0.406,0.493,0.899,0
"641",6,"Lou Brock","STL","NL",1973,65,0,0.19,2.1,160,650,110,193,7,63,70,71,0.297,0.364,0.398,0.762,0
"642",7,"Tony Pérez","CIN","NL",1973,59,0,0.18,5.3,151,564,73,177,27,101,3,74,0.314,0.393,0.527,0.919,0
"643",9,"Ken Singleton","MON","NL",1973,52,0,0.15,5.7,162,560,100,169,23,103,2,123,0.302,0.425,0.479,0.904,0
"644",1,"Steve Garvey","LAD","NL",1974,270,13,0.8,4.4,156,642,95,200,21,111,5,31,0.312,0.342,0.469,0.811,1
"645",2,"Lou Brock","STL","NL",1974,233,8,0.69,3.5,153,635,105,194,3,48,118,61,0.306,0.368,0.381,0.749,0
"646",4,"Johnny Bench","CIN","NL",1974,141,0,0.42,7.8,160,621,108,174,33,129,5,80,0.28,0.363,0.507,0.87,0
"647",5,"Jim Wynn","LAD","NL",1974,137,0,0.41,7.7,150,535,104,145,32,108,18,108,0.271,0.387,0.497,0.884,0
"648",6,"Mike Schmidt","PHI","NL",1974,136,0,0.4,9.8,162,568,108,160,36,116,23,106,0.282,0.395,0.546,0.941,0
"649",7,"Al Oliver","PIT","NL",1974,87,0,0.26,4.7,147,617,96,198,11,85,10,33,0.321,0.358,0.475,0.832,0
"650",8,"Joe Morgan","CIN","NL",1974,72,0,0.21,8.6,149,512,107,150,22,67,58,120,0.293,0.427,0.494,0.921,0
"651",9,"Richie Zisk","PIT","NL",1974,54,0,0.16,5.2,149,536,75,168,17,100,1,65,0.313,0.386,0.476,0.862,0
"652",1,"Joe Morgan","CIN","NL",1975,321,21,0.96,11,146,498,107,163,17,94,67,132,0.327,0.466,0.508,0.974,1
"653",2,"Greg Luzinski","PHI","NL",1975,154,0,0.46,3.2,161,596,85,179,34,120,3,89,0.3,0.394,0.54,0.934,0
"654",3,"Dave Parker","PIT","NL",1975,120,0,0.36,6.3,148,558,75,172,25,101,8,38,0.308,0.357,0.541,0.898,0
"655",4,"Johnny Bench","CIN","NL",1975,117,0,0.35,6.6,142,530,83,150,28,110,11,65,0.283,0.359,0.519,0.878,0
"656",5,"Pete Rose","CIN","NL",1975,114,2,0.34,4.1,162,662,112,210,7,74,0,89,0.317,0.406,0.432,0.838,0
"657",6,"Ted Simmons","STL","NL",1975,103,0,0.31,4.9,157,581,80,193,18,100,1,63,0.332,0.396,0.491,0.887,0
"658",7,"Willie Stargell","PIT","NL",1975,69,0,0.21,3.6,124,461,71,136,22,90,0,58,0.295,0.375,0.516,0.891,0
"659",1,"Joe Morgan","CIN","NL",1976,311,19,0.93,9.6,141,472,113,151,27,111,60,114,0.32,0.444,0.576,1.02,1
"660",2,"George Foster","CIN","NL",1976,221,5,0.66,5.9,144,562,86,172,29,121,17,52,0.306,0.364,0.53,0.894,0
"661",3,"Mike Schmidt","PHI","NL",1976,179,0,0.53,8,160,584,112,153,38,107,14,100,0.262,0.376,0.524,0.9,0
"662",4,"Pete Rose","CIN","NL",1976,131,0,0.39,7,162,665,130,215,10,63,9,86,0.323,0.404,0.45,0.854,0
"663",5,"Garry Maddox","PHI","NL",1976,98,0,0.29,6.4,146,531,75,175,6,68,29,42,0.33,0.377,0.456,0.833,0
"664",6,"Steve Garvey","LAD","NL",1976,51,0,0.15,4.7,162,631,85,200,13,80,19,50,0.317,0.363,0.45,0.813,0
"665",6,"Bill Madlock","CHC","NL",1976,51,0,0.15,4.3,142,514,68,174,15,84,15,56,0.339,0.412,0.5,0.912,0
"666",8,"Ken Griffey","CIN","NL",1976,49,0,0.15,4.6,148,562,111,189,6,74,34,62,0.336,0.401,0.45,0.851,0
"667",8,"Greg Luzinski","PHI","NL",1976,49,0,0.15,2.4,149,533,74,162,21,95,1,50,0.304,0.369,0.478,0.847,0
"668",1,"George Foster","CIN","NL",1977,291,15,0.87,8.4,158,615,124,197,52,149,6,61,0.32,0.382,0.631,1.013,1
"669",2,"Greg Luzinski","PHI","NL",1977,255,9,0.76,4.2,149,554,99,171,39,130,3,80,0.309,0.394,0.594,0.988,0
"670",3,"Dave Parker","PIT","NL",1977,156,0,0.46,7.4,159,637,107,215,21,88,17,58,0.338,0.397,0.531,0.927,0
"671",4,"Reggie Smith","LAD","NL",1977,112,0,0.33,6.1,148,488,104,150,32,87,7,104,0.307,0.427,0.576,1.003,0
"672",6,"Steve Garvey","LAD","NL",1977,98,0,0.29,3.8,162,646,91,192,33,115,9,38,0.297,0.335,0.498,0.834,0
"673",8,"Ron Cey","LAD","NL",1977,60,0,0.18,3.5,153,564,77,136,30,110,3,93,0.241,0.347,0.45,0.797,0
"674",9,"Ted Simmons","STL","NL",1977,58,0,0.17,5.2,150,516,82,164,21,95,2,79,0.318,0.408,0.5,0.908,0
"675",1,"Dave Parker","PIT","NL",1978,320,21,0.95,7,148,581,102,194,30,117,20,57,0.334,0.394,0.585,0.979,1
"676",2,"Steve Garvey","LAD","NL",1978,194,0,0.58,4.7,162,639,89,202,21,113,10,40,0.316,0.353,0.499,0.852,0
"677",3,"Larry Bowa","PHI","NL",1978,189,3,0.56,5.8,156,654,78,192,3,43,27,24,0.294,0.319,0.37,0.689,0
"678",4,"Reggie Smith","LAD","NL",1978,164,0,0.49,4.5,128,447,82,132,29,93,12,70,0.295,0.382,0.559,0.942,0
"679",5,"Jack Clark","SFG","NL",1978,107,0,0.32,5.9,156,592,90,181,25,98,15,50,0.306,0.358,0.537,0.895,0
"680",6,"George Foster","CIN","NL",1978,104,0,0.31,4.9,158,604,97,170,40,120,4,70,0.281,0.36,0.546,0.906,0
"681",7,"Greg Luzinski","PHI","NL",1978,48,0,0.14,5.2,155,540,85,143,35,101,8,100,0.265,0.388,0.526,0.914,0
"682",9,"Willie Stargell","PIT","NL",1978,39,0,0.12,3.1,122,390,60,115,28,97,3,50,0.295,0.382,0.567,0.949,0
"683",1,"Keith Hernandez","STL","NL",1979,216,4,0.64,7.6,161,610,116,210,11,105,11,80,0.344,0.417,0.513,0.93,1
"684",1,"Willie Stargell","PIT","NL",1979,216,10,0.64,2.5,126,424,60,119,32,82,0,47,0.281,0.352,0.552,0.904,1
"685",3,"Dave Winfield","SDP","NL",1979,155,4,0.46,8.3,159,597,97,184,34,118,15,85,0.308,0.395,0.558,0.953,0
"686",4,"Larry Parrish","MON","NL",1979,128,0,0.38,4.6,153,544,83,167,30,82,5,41,0.307,0.357,0.551,0.909,0
"687",5,"Ray Knight","CIN","NL",1979,82,2,0.24,3.1,150,551,64,175,10,79,4,38,0.318,0.36,0.454,0.814,0
"688",9,"Dave Concepción","CIN","NL",1979,63,0,0.19,4.9,149,590,91,166,16,84,19,64,0.281,0.348,0.415,0.764,0
"689",1,"Mike Schmidt","PHI","NL",1980,336,24,1,8.9,150,548,104,157,48,121,12,89,0.286,0.38,0.624,1.004,1
"690",2,"Gary Carter","MON","NL",1980,193,0,0.57,6.5,154,549,76,145,29,101,3,58,0.264,0.331,0.486,0.818,0
"691",3,"José Cruz","HOU","NL",1980,166,0,0.49,4.8,160,612,79,185,11,91,36,60,0.302,0.36,0.426,0.787,0
"692",4,"Dusty Baker","LAD","NL",1980,138,0,0.41,4.6,153,579,80,170,29,97,12,43,0.294,0.339,0.503,0.842,0
"693",6,"Steve Garvey","LAD","NL",1980,131,0,0.39,3,163,658,78,200,26,106,6,36,0.304,0.341,0.467,0.808,0
"694",7,"Andre Dawson","MON","NL",1980,72,0,0.21,6.9,151,577,96,178,17,87,34,44,0.308,0.358,0.492,0.85,0
"695",8,"George Hendrick","STL","NL",1980,50,0,0.15,3.9,150,572,73,173,25,109,6,32,0.302,0.342,0.498,0.84,0
"696",9,"Bob Horner","ATL","NL",1980,42,0,0.13,4.4,124,463,81,124,35,89,3,27,0.268,0.307,0.529,0.836,0
"697",1,"Mike Schmidt","PHI","NL",1981,321,21,0.96,7.7,102,354,78,112,31,91,12,73,0.316,0.435,0.644,1.08,1
"698",2,"Andre Dawson","MON","NL",1981,215,2,0.64,7.5,103,394,71,119,24,64,26,35,0.302,0.365,0.553,0.918,0
"699",3,"George Foster","CIN","NL",1981,146,0,0.43,3.7,108,414,64,122,22,90,4,51,0.295,0.373,0.519,0.892,0
"700",4,"Dave Concepción","CIN","NL",1981,108,0,0.32,3.7,106,421,57,129,5,67,4,37,0.306,0.358,0.409,0.767,0
"701",6,"Gary Carter","MON","NL",1981,77,0,0.23,3.8,100,374,48,94,16,68,1,35,0.251,0.313,0.444,0.756,0
"702",7,"Dusty Baker","LAD","NL",1981,65,0,0.19,2.8,103,400,48,128,9,49,10,29,0.32,0.363,0.445,0.808,0
"703",1,"Dale Murphy","ATL","NL",1982,283,14,0.84,6.1,162,598,113,168,36,109,23,93,0.281,0.378,0.507,0.885,1
"704",2,"Lonnie Smith","STL","NL",1982,218,8,0.65,6.2,156,592,120,182,8,69,68,64,0.307,0.381,0.434,0.815,0
"705",3,"Pedro Guerrero","LAD","NL",1982,175,0,0.52,6.8,150,575,87,175,32,100,22,65,0.304,0.378,0.536,0.914,0
"706",3,"Al Oliver","MON","NL",1982,175,0,0.52,5.2,160,617,90,204,22,109,5,61,0.331,0.392,0.514,0.906,0
"707",6,"Mike Schmidt","PHI","NL",1982,54,0,0.16,7.4,148,514,108,144,35,87,14,107,0.28,0.403,0.547,0.949,0
"708",7,"Jack Clark","SFG","NL",1982,53,0,0.16,4,157,563,90,154,27,103,6,90,0.274,0.372,0.481,0.853,0
"709",1,"Dale Murphy","ATL","NL",1983,318,21,0.95,7.1,162,589,131,178,36,121,30,90,0.302,0.393,0.54,0.933,1
"710",2,"Andre Dawson","MON","NL",1983,213,1,0.63,6.9,159,633,104,189,32,113,25,38,0.299,0.338,0.539,0.877,0
"711",3,"Mike Schmidt","PHI","NL",1983,191,1,0.57,6.9,154,534,104,136,40,109,7,128,0.255,0.399,0.524,0.923,0
"712",4,"Pedro Guerrero","LAD","NL",1983,182,1,0.54,5.5,160,584,87,174,32,103,23,72,0.298,0.373,0.531,0.904,0
"713",5,"Tim Raines","MON","NL",1983,83,0,0.25,6,156,615,133,183,11,71,90,97,0.298,0.393,0.429,0.822,0
"714",6,"José Cruz","HOU","NL",1983,76,0,0.23,6.2,160,594,85,189,14,92,30,65,0.318,0.385,0.463,0.848,0
"715",7,"Dickie Thon","HOU","NL",1983,67,0,0.2,7.4,154,619,81,177,20,79,34,54,0.286,0.341,0.457,0.798,0
"716",8,"Bill Madlock","PIT","NL",1983,45,0,0.13,2.4,130,473,68,153,12,68,3,49,0.323,0.386,0.444,0.83,0
"717",1,"Ryne Sandberg","CHC","NL",1984,326,22,0.97,8.5,156,636,114,200,19,84,32,52,0.314,0.367,0.52,0.887,1
"718",2,"Keith Hernandez","NYM","NL",1984,195,1,0.58,6.3,154,550,83,171,15,94,2,97,0.311,0.409,0.449,0.859,0
"719",3,"Tony Gwynn","SDP","NL",1984,184,1,0.55,6.3,158,606,88,213,5,71,33,59,0.351,0.41,0.444,0.853,0
"720",5,"Gary Matthews","CHC","NL",1984,70,0,0.21,3.2,147,491,101,143,14,82,17,103,0.291,0.41,0.428,0.838,0
"721",7,"Mike Schmidt","PHI","NL",1984,55,0,0.16,7,151,528,93,146,36,106,5,92,0.277,0.383,0.536,0.919,0
"722",8,"José Cruz","HOU","NL",1984,53,0,0.16,6.3,160,600,96,187,12,95,22,73,0.312,0.381,0.462,0.842,0
"723",9,"Dale Murphy","ATL","NL",1984,52,0,0.15,5.5,162,607,94,176,36,100,19,79,0.29,0.372,0.547,0.919,0
"724",1,"Willie McGee","STL","NL",1985,280,14,0.83,8.2,152,612,114,216,10,82,56,34,0.353,0.384,0.503,0.887,1
"725",2,"Dave Parker","CIN","NL",1985,220,6,0.65,4.7,160,635,88,198,34,125,5,52,0.312,0.365,0.551,0.916,0
"726",3,"Pedro Guerrero","LAD","NL",1985,208,3,0.62,8,137,487,99,156,33,87,12,83,0.32,0.422,0.577,0.999,0
"727",5,"Tom Herr","STL","NL",1985,119,0,0.35,5.6,159,596,97,180,8,110,31,80,0.302,0.379,0.416,0.795,0
"728",6,"Gary Carter","NYM","NL",1985,116,0,0.35,6.9,149,555,83,156,32,100,1,69,0.281,0.365,0.488,0.853,0
"729",7,"Dale Murphy","ATL","NL",1985,63,0,0.19,5,162,616,118,185,37,111,10,90,0.3,0.388,0.539,0.927,0
"730",8,"Keith Hernandez","NYM","NL",1985,61,0,0.18,5,158,593,87,183,10,91,3,77,0.309,0.384,0.43,0.814,0
"731",1,"Mike Schmidt","PHI","NL",1986,287,15,0.85,6.1,160,552,97,160,37,119,1,89,0.29,0.39,0.547,0.937,1
"732",2,"Glenn Davis","HOU","NL",1986,231,6,0.69,4.5,158,574,91,152,31,101,3,64,0.265,0.344,0.493,0.837,0
"733",3,"Gary Carter","NYM","NL",1986,181,1,0.54,3.6,132,490,81,125,24,105,1,62,0.255,0.337,0.439,0.776,0
"734",4,"Keith Hernandez","NYM","NL",1986,179,2,0.53,5.5,149,551,94,171,13,83,2,94,0.31,0.413,0.446,0.859,0
"735",5,"Dave Parker","CIN","NL",1986,144,0,0.43,0.3,162,637,89,174,31,116,1,56,0.273,0.33,0.477,0.807,0
"736",6,"Tim Raines","MON","NL",1986,99,0,0.29,5.5,151,580,91,194,9,62,70,78,0.334,0.413,0.476,0.889,0
"737",7,"Kevin Bass","HOU","NL",1986,73,0,0.22,5.2,157,591,83,184,20,79,22,38,0.311,0.357,0.486,0.842,0
"738",8,"Von Hayes","PHI","NL",1986,41,0,0.12,5,158,610,107,186,19,98,24,74,0.305,0.379,0.48,0.859,0
"739",9,"Tony Gwynn","SDP","NL",1986,34,0,0.1,6.7,160,642,107,211,14,59,37,52,0.329,0.381,0.467,0.848,0
"740",1,"Andre Dawson","CHC","NL",1987,269,11,0.8,4,153,621,90,178,49,137,11,32,0.287,0.328,0.568,0.896,1
"741",2,"Ozzie Smith","STL","NL",1987,193,9,0.57,6.4,158,600,104,182,0,75,43,89,0.303,0.392,0.383,0.775,0
"742",3,"Jack Clark","STL","NL",1987,186,3,0.55,5.4,131,419,93,120,35,106,1,136,0.286,0.459,0.597,1.055,0
"743",4,"Tim Wallach","MON","NL",1987,165,1,0.49,4.3,153,593,89,177,26,123,9,37,0.298,0.343,0.514,0.858,0
"744",5,"Will Clark","SFG","NL",1987,128,0,0.38,4.2,150,529,89,163,35,91,5,49,0.308,0.371,0.58,0.951,0
"745",6,"Darryl Strawberry","NYM","NL",1987,95,0,0.28,6.4,154,532,108,151,39,104,36,97,0.284,0.398,0.583,0.981,0
"746",7,"Tim Raines","MON","NL",1987,80,0,0.24,6.7,139,530,123,175,18,68,50,90,0.33,0.429,0.526,0.955,0
"747",8,"Tony Gwynn","SDP","NL",1987,75,0,0.22,8.6,157,589,119,218,7,54,56,82,0.37,0.447,0.511,0.958,0
"748",9,"Eric Davis","CIN","NL",1987,73,0,0.22,7.9,129,474,120,139,37,100,50,84,0.293,0.399,0.593,0.991,0
"749",1,"Kirk Gibson","LAD","NL",1988,272,13,0.81,6.5,150,542,106,157,25,76,31,73,0.29,0.377,0.483,0.86,1
"750",2,"Darryl Strawberry","NYM","NL",1988,236,7,0.7,5.4,153,543,101,146,39,101,29,85,0.269,0.366,0.545,0.911,0
"751",3,"Kevin McReynolds","NYM","NL",1988,162,4,0.48,4.5,147,552,82,159,27,99,21,38,0.288,0.336,0.496,0.832,0
"752",4,"Andy Van Slyke","PIT","NL",1988,160,0,0.48,6.5,154,587,101,169,25,100,30,57,0.288,0.345,0.506,0.851,0
"753",5,"Will Clark","SFG","NL",1988,135,0,0.4,6.7,162,575,102,162,29,109,9,100,0.282,0.386,0.508,0.894,0
"754",7,"Andrés Galarraga","MON","NL",1988,105,0,0.31,5.7,157,609,99,184,29,92,13,39,0.302,0.352,0.54,0.893,0
"755",8,"Glenn Davis","HOU","NL",1988,72,0,0.21,4.3,152,561,78,152,30,99,4,53,0.271,0.341,0.478,0.818,0
"756",1,"Kevin Mitchell","SFG","NL",1989,314,20,0.93,6.9,154,543,100,158,47,125,3,87,0.291,0.388,0.635,1.023,1
"757",2,"Will Clark","SFG","NL",1989,225,3,0.67,8.6,159,588,104,196,23,111,8,74,0.333,0.407,0.546,0.953,0
"758",3,"Pedro Guerrero","STL","NL",1989,190,1,0.57,1.9,162,570,60,177,17,117,2,79,0.311,0.391,0.477,0.868,0
"759",4,"Ryne Sandberg","CHC","NL",1989,157,0,0.47,6.1,157,606,104,176,30,76,15,59,0.29,0.356,0.497,0.853,0
"760",5,"Howard Johnson","NYM","NL",1989,153,0,0.46,6.9,153,571,104,164,36,101,41,77,0.287,0.369,0.559,0.928,0
"761",7,"Glenn Davis","HOU","NL",1989,64,0,0.19,4.4,158,581,87,156,34,89,4,69,0.269,0.35,0.492,0.842,0
"762",8,"Tony Gwynn","SDP","NL",1989,57,0,0.17,2.5,158,604,82,203,4,62,40,56,0.336,0.389,0.424,0.813,0
"763",9,"Eric Davis","CIN","NL",1989,44,0,0.13,2.9,131,462,74,130,34,101,21,68,0.281,0.367,0.541,0.908,0
"764",1,"Barry Bonds","PIT","NL",1990,331,23,0.99,9.7,151,519,104,156,33,114,52,93,0.301,0.406,0.565,0.97,1
"765",2,"Bobby Bonilla","PIT","NL",1990,212,1,0.63,4,160,625,112,175,32,120,4,45,0.28,0.322,0.518,0.841,0
"766",3,"Darryl Strawberry","NYM","NL",1990,167,0,0.5,6.3,152,542,92,150,37,108,15,70,0.277,0.361,0.518,0.879,0
"767",4,"Ryne Sandberg","CHC","NL",1990,151,0,0.45,7.1,155,615,116,188,40,100,25,50,0.306,0.354,0.559,0.913,0
"768",5,"Eddie Murray","LAD","NL",1990,123,0,0.37,5.2,155,558,96,184,26,95,8,82,0.33,0.414,0.52,0.934,0
"769",6,"Matt Williams","SFG","NL",1990,95,0,0.28,5,159,617,87,171,33,122,7,33,0.277,0.319,0.488,0.807,0
"770",7,"Barry Larkin","CIN","NL",1990,82,0,0.24,5.7,158,614,85,185,7,67,30,49,0.301,0.358,0.396,0.753,0
"771",9,"Lenny Dykstra","PHI","NL",1990,41,0,0.12,8.9,149,590,106,192,9,60,33,89,0.325,0.418,0.441,0.859,0
"772",1,"Terry Pendleton","ATL","NL",1991,274,12,0.82,6.1,153,586,94,187,22,86,10,43,0.319,0.363,0.517,0.88,1
"773",2,"Barry Bonds","PIT","NL",1991,259,10,0.77,8,153,510,95,149,25,116,43,107,0.292,0.41,0.514,0.924,0
"774",3,"Bobby Bonilla","PIT","NL",1991,191,1,0.57,3.9,157,577,102,174,18,100,2,90,0.302,0.391,0.492,0.883,0
"775",4,"Will Clark","SFG","NL",1991,118,0,0.35,5.2,148,565,84,170,29,116,4,51,0.301,0.359,0.536,0.895,0
"776",5,"Howard Johnson","NYM","NL",1991,112,0,0.33,3.5,156,564,108,146,38,117,30,78,0.259,0.342,0.535,0.877,0
"777",6,"Ron Gant","ATL","NL",1991,110,0,0.33,2,154,561,101,141,32,105,34,71,0.251,0.338,0.496,0.834,0
"778",7,"Brett Butler","LAD","NL",1991,103,1,0.31,5.1,161,615,112,182,2,38,38,108,0.296,0.401,0.343,0.744,0
"779",9,"Darryl Strawberry","LAD","NL",1991,76,0,0.23,3.7,139,505,86,134,28,99,10,75,0.265,0.361,0.491,0.852,0
"780",1,"Barry Bonds","PIT","NL",1992,304,18,0.9,9,140,473,109,147,34,103,39,127,0.311,0.456,0.624,1.08,1
"781",2,"Terry Pendleton","ATL","NL",1992,232,4,0.69,5,160,640,98,199,21,105,5,37,0.311,0.345,0.473,0.818,0
"782",3,"Gary Sheffield","SDP","NL",1992,204,2,0.61,6.2,146,557,87,184,33,100,5,48,0.33,0.385,0.58,0.965,0
"783",4,"Andy Van Slyke","PIT","NL",1992,145,0,0.43,6,154,614,103,199,14,89,12,58,0.324,0.381,0.505,0.886,0
"784",5,"Larry Walker","MON","NL",1992,111,0,0.33,5.4,143,528,85,159,23,93,18,41,0.301,0.353,0.506,0.859,0
"785",6,"Darren Daulton","PHI","NL",1992,100,0,0.3,6.9,145,485,80,131,27,109,11,88,0.27,0.385,0.524,0.908,0
"786",6,"Fred McGriff","SDP","NL",1992,100,0,0.3,5.2,152,531,79,152,35,104,8,96,0.286,0.394,0.556,0.95,0
"787",8,"Bip Roberts","CIN","NL",1992,64,0,0.19,5,147,532,92,172,4,45,44,62,0.323,0.393,0.432,0.826,0
"788",9,"Marquis Grissom","MON","NL",1992,54,0,0.16,5.5,159,653,99,180,14,66,78,42,0.276,0.322,0.418,0.741,0
"789",1,"Barry Bonds","SFG","NL",1993,372,24,0.95,9.9,159,539,129,181,46,123,29,126,0.336,0.458,0.677,1.136,1
"790",2,"Lenny Dykstra","PHI","NL",1993,267,4,0.68,6.6,161,637,143,194,19,66,37,129,0.305,0.42,0.482,0.902,0
"791",3,"David Justice","ATL","NL",1993,183,0,0.47,5.1,157,585,90,158,40,120,3,78,0.27,0.357,0.515,0.871,0
