Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
2,Al Kaline,DET,AL,1963,148,1,53%,5.4,145,551,89,172,27,101,6,54,0.312,0.375,0.514,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Whitey Ford,NYY,AL,1963,125,3,45%,4.4,38,92,5,13,1,4,2,6,0.141,0.194,0.196,0.39,24,7,2.74,1.099,38,37,1,269.1,240,26,56,189
4,Harmon Killebrew,MIN,AL,1963,85,0,30%,4.2,142,515,88,133,45,96,0,72,0.258,0.349,0.555,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dick Radatz,BOS,AL,1963,84,0,30%,5.5,66,29,0,2,0,0,0,1,0.069,0.1,0.103,0.203,15,6,1.97,1.096,66,0,23,132.1,94,9,51,162
6,Carl Yastrzemski,BOS,AL,1963,81,0,29%,6.6,151,570,91,183,14,68,8,95,0.321,0.418,0.475,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Earl Battey,MIN,AL,1963,57,0,20%,4.2,147,508,64,145,26,84,0,61,0.285,0.369,0.476,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Gary Peters,CHW,AL,1963,55,0,20%,7,50,81,12,21,3,12,0,3,0.259,0.287,0.444,0.732,19,8,2.33,1.07,41,30,1,243,192,9,68,189
9,Pete Ward,CHW,AL,1963,52,0,19%,4.1,157,600,80,177,22,84,7,52,0.295,0.353,0.482,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Brooks Robinson,BAL,AL,1964,269,18,96%,8.1,163,612,82,194,28,118,1,51,0.317,0.368,0.521,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mickey Mantle,NYY,AL,1964,171,2,61%,4.8,143,465,92,141,35,111,6,99,0.303,0.423,0.591,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Elston Howard,NYY,AL,1964,124,0,44%,5.5,150,550,63,172,15,84,1,48,0.313,0.371,0.455,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Tony Oliva,MIN,AL,1964,99,0,35%,6.8,161,672,109,217,32,94,12,34,0.323,0.359,0.557,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
